"source_service_name","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"Cleft Lip repair","Clinical Services","General Clinical Services","Cleft Lip repair",TRUE,FALSE,TRUE,FALSE
"Clinical Chemistry","Diagnostic Services","Diagnostic Services","Clinical Chemistry",TRUE,FALSE,TRUE,FALSE
"Community Health Services","Community & Preventive Health","Community & Preventive Health","Community Health Services",TRUE,FALSE,TRUE,FALSE
"Community management of in under-5: Micronutrient provider","Community & Preventive Health","Growth Monitoring & Nutrition","Community management of in under-5: Micronutrient provider",TRUE,FALSE,TRUE,FALSE
"Community management of nutrition in under-5: Vitamin A","Community & Preventive Health","Community & Preventive Health","Community management of nutrition in under-5: Vitamin A",TRUE,FALSE,TRUE,FALSE
"Community management of nutrition under-5:Plumpy peanut","Community & Preventive Health","Community & Preventive Health","Community management of nutrition under-5:Plumpy peanut",TRUE,FALSE,TRUE,FALSE
"Condoms","Support Services","Commodities and Supplies","Condoms",FALSE,FALSE,FALSE,FALSE
"Contacture release","Clinical Services","General Clinical Services","Contacture release",TRUE,FALSE,TRUE,FALSE
"Critical care HDU","Clinical Services","General Clinical Services","Critical care HDU",TRUE,FALSE,TRUE,FALSE
"Cycle Beads","Support Services","Commodities and Supplies","Cycle Beads",FALSE,FALSE,FALSE,FALSE
"DBS","HIV/AIDS Services","HIV Testing & Counselling","DBS",TRUE,FALSE,TRUE,FALSE
"DPT Vaccine","Support Services","Commodities and Supplies","DPT Vaccine",FALSE,FALSE,FALSE,FALSE
"DPT-Hib + Hep B/Pentavalet vaccine","Support Services","Commodities and Supplies","DPT-Hib + Hep B/Pentavalet vaccine",FALSE,FALSE,FALSE,FALSE
"Days with stock out","Support Services","Supply Chain Records","Days with stock out",FALSE,FALSE,FALSE,FALSE
"Delivery Services","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Delivery Services",TRUE,FALSE,TRUE,FALSE
"Dental","Clinical Services","General Clinical Services","Dental",TRUE,FALSE,TRUE,FALSE
"Depoprovera","Support Services","Commodities and Supplies","Depoprovera",FALSE,FALSE,FALSE,FALSE
"Dermatology (Skin)","Clinical Services","General Clinical Services","Dermatology (Skin)",TRUE,FALSE,TRUE,FALSE
"Deworming","Community & Preventive Health","Community & Preventive Health","Deworming",TRUE,FALSE,TRUE,FALSE
"Dexamethasone injectable","Support Services","Commodities and Supplies","Dexamethasone injectable",FALSE,FALSE,FALSE,FALSE
"Diagnostic testing","Diagnostic Services","Diagnostic Services","Diagnostic testing",TRUE,FALSE,TRUE,FALSE
"Diarrhoea diseases","Clinical Services","General Clinical Services","Diarrhoea diseases",TRUE,FALSE,TRUE,FALSE
"Disinfectant","Support Services","Equipment and Infrastructure","Disinfectant",FALSE,FALSE,FALSE,FALSE
"Dispensing room","Support Services","Support Services","Dispensing room",FALSE,FALSE,FALSE,FALSE
"Disposable gloves","Support Services","Equipment and Infrastructure","Disposable gloves",FALSE,FALSE,FALSE,FALSE
"Disposable syringes","Support Services","Equipment and Infrastructure","Disposable syringes",FALSE,FALSE,FALSE,FALSE
"ENT","Clinical Services","General Clinical Services","ENT",TRUE,FALSE,TRUE,FALSE
"Elisa-HIV antibody test","HIV/AIDS Services","HIV/AIDS Services","Elisa-HIV antibody test",TRUE,FALSE,TRUE,FALSE
"Emergencey Ceasarian Section","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Emergencey Ceasarian Section",TRUE,FALSE,TRUE,FALSE
"Emergency Contraception","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Emergency Contraception",TRUE,FALSE,TRUE,FALSE
"Emergency Contraceptives","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Emergency Contraceptives",TRUE,FALSE,TRUE,FALSE
"Eye ointment","Support Services","Commodities and Supplies","Eye ointment",FALSE,FALSE,FALSE,FALSE
"FBC-Full blood count","Diagnostic Services","Diagnostic Services","FBC-Full blood count",TRUE,FALSE,TRUE,FALSE
"Facility prescibes TB drugs","Clinical Services","TB Services","Facility prescibes TB drugs",TRUE,FALSE,TRUE,FALSE
