country,facility_code,uid,created_date
TZA,114641-4,TZA-000414,2026-05-15
TZA,100903-4,TZA-000415,2026-05-15
TZA,108417-7,TZA-000416,2026-05-15
TZA,103303-4,TZA-000417,2026-05-15
TZA,112513-7,TZA-000418,2026-05-15
TZA,111330-7,TZA-000419,2026-05-15
TZA,113742-1,TZA-000420,2026-05-15
TZA,104587-1,TZA-000421,2026-05-15
TZA,114803-0,TZA-000422,2026-05-15
TZA,114039-1,TZA-000423,2026-05-15
TZA,102545-1,TZA-000424,2026-05-15
TZA,112512-9,TZA-000425,2026-05-15
TZA,115015-0,TZA-000426,2026-05-15
TZA,104146-6,TZA-000427,2026-05-15
TZA,124281-7,TZA-000428,2026-05-15
TZA,123657-9,TZA-000429,2026-05-15
TZA,122688-5,TZA-000430,2026-05-15
TZA,124427-6,TZA-000431,2026-05-15
TZA,122188-6,TZA-000432,2026-05-15
TZA,114303-1,TZA-000433,2026-05-15
TZA,124092-8,TZA-000434,2026-05-15
TZA,114261-1,TZA-000435,2026-05-15
TZA,122750-3,TZA-000436,2026-05-15
TZA,113283-6,TZA-000437,2026-05-15
TZA,105209-1,TZA-000438,2026-05-15
TZA,124414-4,TZA-000439,2026-05-15
TZA,114405-4,TZA-000440,2026-05-15
TZA,111333-1,TZA-000441,2026-05-15
TZA,103041-0,TZA-000442,2026-05-15
TZA,108388-0,TZA-000443,2026-05-15
TZA,112110-2,TZA-000444,2026-05-15
TZA,107580-3,TZA-000445,2026-05-15
TZA,123624-9,TZA-000446,2026-05-15
TZA,102724-2,TZA-000447,2026-05-15
TZA,100717-8,TZA-000448,2026-05-15
TZA,122707-3,TZA-000449,2026-05-15
TZA,122749-5,TZA-000450,2026-05-15
TZA,111328-1,TZA-000451,2026-05-15
TZA,102352-2,TZA-000452,2026-05-15
TZA,122753-7,TZA-000453,2026-05-15
TZA,115012-7,TZA-000454,2026-05-15
TZA,122596-0,TZA-000455,2026-05-15
TZA,104450-2,TZA-000456,2026-05-15
TZA,110939-6,TZA-000457,2026-05-15
TZA,123570-4,TZA-000458,2026-05-15
TZA,123650-4,TZA-000459,2026-05-15
TZA,104301-7,TZA-000460,2026-05-15
TZA,124280-9,TZA-000461,2026-05-15
TZA,100221-1,TZA-000462,2026-05-15
TZA,115014-3,TZA-000463,2026-05-15
TZA,122986-3,TZA-000464,2026-05-15
TZA,105065-7,TZA-000465,2026-05-15
TZA,122598-6,TZA-000466,2026-05-15
TZA,101157-6,TZA-000467,2026-05-15
TZA,113280-2,TZA-000468,2026-05-15
TZA,114299-1,TZA-000469,2026-05-15
TZA,113718-1,TZA-000470,2026-05-15
TZA,101109-7,TZA-000471,2026-05-15
TZA,113282-8,TZA-000472,2026-05-15
TZA,100790-5,TZA-000473,2026-05-15
TZA,122873-3,TZA-000474,2026-05-15
TZA,100775-6,TZA-000475,2026-05-15
TZA,120408-0,TZA-000476,2026-05-15
TZA,104941-0,TZA-000477,2026-05-15
TZA,100803-6,TZA-000478,2026-05-15
TZA,104076-5,TZA-000479,2026-05-15
TZA,108407-8,TZA-000480,2026-05-15
TZA,103305-9,TZA-000481,2026-05-15
TZA,121410-5,TZA-000482,2026-05-15
TZA,102733-3,TZA-000483,2026-05-15
TZA,120355-3,TZA-000484,2026-05-15
TZA,101437-2,TZA-000485,2026-05-15
TZA,121914-6,TZA-000486,2026-05-15
TZA,100703-8,TZA-000487,2026-05-15
TZA,103456-0,TZA-000488,2026-05-15
TZA,106517-6,TZA-000489,2026-05-15
TZA,120354-6,TZA-000490,2026-05-15
TZA,100787-1,TZA-000491,2026-05-15
TZA,100228-6,TZA-000492,2026-05-15
TZA,100227-8,TZA-000493,2026-05-15
TZA,122895-6,TZA-000494,2026-05-15
TZA,100215-3,TZA-000495,2026-05-15
TZA,105331-3,TZA-000496,2026-05-15
TZA,105376-8,TZA-000497,2026-05-15
TZA,105346-1,TZA-000498,2026-05-15
TZA,108412-8,TZA-000499,2026-05-15
TZA,122899-8,TZA-000500,2026-05-15
TZA,100818-4,TZA-000501,2026-05-15
TZA,120356-1,TZA-000502,2026-05-15
TZA,106565-5,TZA-000503,2026-05-15
TZA,105328-9,TZA-000504,2026-05-15
TZA,100834-1,TZA-000505,2026-05-15
TZA,105100-2,TZA-000506,2026-05-15
TZA,101885-2,TZA-000507,2026-05-15
TZA,101453-9,TZA-000508,2026-05-15
TZA,100229-4,TZA-000509,2026-05-15
TZA,123106-7,TZA-000510,2026-05-15
TZA,100315-1,TZA-000511,2026-05-15
TZA,100799-6,TZA-000512,2026-05-15
TZA,105684-5,TZA-000513,2026-05-15
TZA,123908-6,TZA-000514,2026-05-15
TZA,106016-9,TZA-000515,2026-05-15
TZA,103891-8,TZA-000516,2026-05-15
TZA,105574-8,TZA-000517,2026-05-15
TZA,106381-7,TZA-000518,2026-05-15
TZA,122633-1,TZA-000519,2026-05-15
TZA,100704-6,TZA-000520,2026-05-15
TZA,111125-1,TZA-000521,2026-05-15
TZA,103680-5,TZA-000522,2026-05-15
TZA,101741-7,TZA-000523,2026-05-15
TZA,100194-0,TZA-000524,2026-05-15
TZA,106055-7,TZA-000525,2026-05-15
TZA,105253-9,TZA-000526,2026-05-15
TZA,113978-1,TZA-000527,2026-05-15
TZA,105477-4,TZA-000528,2026-05-15
TZA,101045-3,TZA-000529,2026-05-15
TZA,121402-2,TZA-000530,2026-05-15
TZA,101298-8,TZA-000531,2026-05-15
TZA,109672-6,TZA-000532,2026-05-15
TZA,104397-5,TZA-000533,2026-05-15
TZA,104480-9,TZA-000534,2026-05-15
TZA,107242-0,TZA-000535,2026-05-15
TZA,101185-7,TZA-000536,2026-05-15
TZA,101538-7,TZA-000537,2026-05-15
TZA,112813-1,TZA-000538,2026-05-15
TZA,103702-7,TZA-000539,2026-05-15
TZA,106727-1,TZA-000540,2026-05-15
TZA,105974-0,TZA-000541,2026-05-15
TZA,100306-0,TZA-000542,2026-05-15
TZA,122924-4,TZA-000543,2026-05-15
TZA,106530-9,TZA-000544,2026-05-15
TZA,102443-9,TZA-000545,2026-05-15
TZA,105976-5,TZA-000546,2026-05-15
TZA,109219-6,TZA-000547,2026-05-15
TZA,105891-6,TZA-000548,2026-05-15
TZA,104992-3,TZA-000549,2026-05-15
TZA,115080-4,TZA-000550,2026-05-15
TZA,101628-6,TZA-000551,2026-05-15
TZA,109221-2,TZA-000552,2026-05-15
TZA,112814-9,TZA-000553,2026-05-15
TZA,107541-5,TZA-000554,2026-05-15
TZA,108781-6,TZA-000555,2026-05-15
TZA,107300-6,TZA-000556,2026-05-15
TZA,106834-5,TZA-000557,2026-05-15
TZA,106746-1,TZA-000558,2026-05-15
TZA,101688-0,TZA-000559,2026-05-15
TZA,114460-9,TZA-000560,2026-05-15
TZA,120756-2,TZA-000561,2026-05-15
TZA,113642-3,TZA-000562,2026-05-15
TZA,108832-7,TZA-000563,2026-05-15
TZA,101179-0,TZA-000564,2026-05-15
TZA,101046-1,TZA-000565,2026-05-15
TZA,112845-3,TZA-000566,2026-05-15
TZA,123684-3,TZA-000567,2026-05-15
TZA,101211-1,TZA-000568,2026-05-15
TZA,111257-2,TZA-000569,2026-05-15
TZA,100667-5,TZA-000570,2026-05-15
TZA,101878-7,TZA-000571,2026-05-15
TZA,113108-5,TZA-000572,2026-05-15
TZA,101020-6,TZA-000573,2026-05-15
TZA,106437-7,TZA-000574,2026-05-15
TZA,114884-0,TZA-000575,2026-05-15
TZA,100984-4,TZA-000576,2026-05-15
TZA,104042-7,TZA-000577,2026-05-15
TZA,121076-4,TZA-000578,2026-05-15
TZA,114887-3,TZA-000579,2026-05-15
